model,dataset,detection_rate,median_nme,pck@0.05,strict_success@0.05,mAP@0.05,average_keypoint_distance,median_keypoint_distance
pkd-DinoV2Up,AP10K_512,1.0,0.02433506289077404,0.6800015225334958,0.1135155656795748,0.5593226975189144,34.896965305047445,12.166021899633087
pkd-DinoV2Up,ARTF_Shorts_Dataset,1.0,0.018981148230689086,0.7140587768069897,0.19444444444444445,0.6269237547099521,16.486817639175545,3.824434124490668
pkd-DinoV2Up,ARTF_Towels_Dataset,1.0,0.010129006102893313,0.886875,0.7375,0.8495238722304218,8.986266533020146,1.8408577361385032
pkd-DinoV2Up,ARTF_Tshirts_Dataset,1.0,0.015339197079646845,0.7817385866166354,0.2475,0.7283642624127289,19.69962471856948,3.351046310798272
pkd-DinoV2Up,CUB200_2011_512,1.0,0.01775152757778462,0.8781813475972737,0.24732481877804627,0.7901107462204381,9.83552996228537,6.4268757344525245
pkd-DinoV2Up,GITW_256,1.0,0.013518689310030729,0.8877419354838709,0.6,0.8670262195914564,7.102023865781547,2.9793985974775268
pkd-DinoV2Up,RoboflowGarlic256Dataset,1.0,0.027395945912106576,0.8140703517587939,0.6582914572864321,0.717075604344257,4.8205658491948,3.02019162593865
pkd-MaxVitUnet,AP10K_512,1.0,0.026035193968775787,0.6503501827040195,0.09415337889141989,0.5374112331671054,37.33325312577119,12.991018293534012
pkd-MaxVitUnet,ARTF_Shorts_Dataset,1.0,0.02560157748682641,0.5464654487688642,0.11666666666666667,0.4388919359808302,40.39661294334162,7.734911908988871
pkd-MaxVitUnet,ARTF_Towels_Dataset,1.0,0.007049194442245472,0.793125,0.5075,0.6987662755386117,17.83956573187269,1.262211602091707
pkd-MaxVitUnet,ARTF_Tshirts_Dataset,1.0,0.012514246490297,0.7763185324160934,0.2225,0.7256167394992494,17.78757446626985,2.81551094404861
pkd-MaxVitUnet,CUB200_2011_512,1.0,0.018273607121191308,0.8494377821873292,0.1874352778736624,0.759653600392351,11.28518846910885,6.7220012904208994
pkd-MaxVitUnet,GITW_256,1.0,0.010528876047367927,0.9212903225806451,0.7451612903225806,0.904473167936889,4.992912800524703,2.0625000012753976
pkd-MaxVitUnet,RoboflowGarlic256Dataset,1.0,0.026333879643823936,0.7839195979899497,0.5829145728643216,0.6936956927915501,4.901276234755222,3.1228153335164857
yolo26s,AP10K_512,0.9954441913439636,0.03215956960923137,0.6378273447015834,0.12794229309035687,0.46992350299043284,28.931319594509567,15.211767926674424
yolo26s,ARTF_Shorts_Dataset,0.9555555555555556,0.28698747049962414,0.07386814932486101,0.0,0.009706395291186703,89.1490454554121,46.94184054337954
yolo26s,ARTF_Towels_Dataset,0.925,0.0406462503087253,0.563125,0.2625,0.4072076297248387,21.825644649280857,7.298010333272943
yolo26s,ARTF_Tshirts_Dataset,0.7875,0.0653143906411443,0.302897644361059,0.0025,0.14224885301336404,41.49186476644053,13.341569960698784
yolo26s,CUB200_2011_512,0.9946496375560925,0.021070042303206523,0.8339372501653581,0.17863306869175008,0.7130752120573376,11.316814360704257,7.903070307934087
yolo26s,GITW_256,0.9935483870967742,0.020855681863609858,0.8309677419354838,0.46774193548387094,0.785257362618575,7.725633470994699,4.652850021742076
yolo26s,RoboflowGarlic256Dataset,0.9949748743718593,0.029544417986022736,0.8140703517587939,0.6532663316582915,0.719182026518991,4.065557188164081,3.1964244789752776
yolov8,AP10K_512,0.9988610478359908,0.04375983336491926,0.5475411084043849,0.06947608200455581,0.352133901036749,34.49749634013282,20.196548220775213
yolov8,ARTF_Shorts_Dataset,0.9888888888888889,0.18571253625994352,0.10246227164416204,0.0,0.01805491228922757,59.96006104209255,32.825998420602154
yolov8,ARTF_Towels_Dataset,0.945,0.048041123725158806,0.495625,0.145,0.33459587897266996,20.94646911605023,8.70882176642847
yolov8,ARTF_Tshirts_Dataset,0.9825,0.08447996231459388,0.3008130081300813,0.0025,0.11687810371540426,56.40944006313515,22.543552323785068
yolov8,CUB200_2011_512,0.9982740766309975,0.026560318450227036,0.7946970350559343,0.12323092854677252,0.6542541751830604,13.197414546200058,9.489185334745594
yolov8,GITW_256,1.0,0.03593679230029697,0.6529032258064517,0.18387096774193548,0.5317720568674483,10.93778310198723,7.270639318128879
yolov8,RoboflowGarlic256Dataset,1.0,0.0422711530175492,0.5804020100502513,0.36683417085427134,0.3861545780405478,5.856092472439069,4.8907681109450944
